SiteID,856431,Site Timezone,-7,Data Timezone,-7,Longitude,-105.102600098,Latitude,39.6388206482
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2010,1,1,0,0,15.94,1.54
2010,1,1,0,5,13.47,1.5
2010,1,1,0,10,10.43,1.49
2010,1,1,0,15,5.93,1.56
2010,1,1,0,20,3.1,1.61
2010,1,1,0,25,2.85,1.58
2010,1,1,0,30,2.05,1.3800000000000001
2010,1,1,0,35,3.5300000000000002,1.16
2010,1,1,0,40,10.53,1.06
2010,1,1,0,45,16.42,1.02
2010,1,1,0,50,18.990000000000002,1.06
2010,1,1,0,55,18.35,1.07
2010,1,1,1,0,12.27,1.01
2010,1,1,1,5,10.370000000000001,1
2010,1,1,1,10,12.07,0.99
2010,1,1,1,15,11.200000000000001,0.98
2010,1,1,1,20,12.41,1.03
2010,1,1,1,25,10,1.17
2010,1,1,1,30,4.54,1.31
2010,1,1,1,35,359.40000000000003,1.41
2010,1,1,1,40,355.36,1.46
2010,1,1,1,45,354.55,1.49
2010,1,1,1,50,354.2,1.51
2010,1,1,1,55,355.65000000000003,1.49
2010,1,1,2,0,358.93,1.42
2010,1,1,2,5,2.48,1.25
2010,1,1,2,10,7.69,1.01
2010,1,1,2,15,11.75,0.8200000000000001
2010,1,1,2,20,11.63,0.77
2010,1,1,2,25,5.09,0.8200000000000001
2010,1,1,2,30,354.75,0.92
2010,1,1,2,35,347.32,1.04
2010,1,1,2,40,342.44,1.08
2010,1,1,2,45,339.76,1.02
2010,1,1,2,50,346.29,0.8200000000000001
2010,1,1,2,55,356.22,0.61
2010,1,1,3,0,12.200000000000001,0.53
2010,1,1,3,5,26.8,0.64
2010,1,1,3,10,25.7,0.8200000000000001
2010,1,1,3,15,28,1
2010,1,1,3,20,35.6,1.01
2010,1,1,3,25,43.86,0.98
2010,1,1,3,30,63.32,1.07
2010,1,1,3,35,82.99,1.1
2010,1,1,3,40,93.9,1.18
2010,1,1,3,45,108.26,1.1300000000000001
2010,1,1,3,50,119.46000000000001,0.99
2010,1,1,3,55,126.45,1.03
2010,1,1,4,0,139.11,1.08
2010,1,1,4,5,143.27,1.21
2010,1,1,4,10,151.74,1.4000000000000001
2010,1,1,4,15,157.04,1.51
2010,1,1,4,20,159,1.79
2010,1,1,4,25,165.69,2.14
2010,1,1,4,30,173.07,2.41
2010,1,1,4,35,181.25,2.7
2010,1,1,4,40,187.61,3.02
2010,1,1,4,45,189.45000000000002,3.41
2010,1,1,4,50,187.15,3.69
2010,1,1,4,55,183.55,3.86
2010,1,1,5,0,180.83,3.94
2010,1,1,5,5,181.42000000000002,3.95
2010,1,1,5,10,184.81,3.85
2010,1,1,5,15,191.38,3.56
2010,1,1,5,20,199.13,3.21
2010,1,1,5,25,199.8,3.13
2010,1,1,5,30,195.56,3.2600000000000002
2010,1,1,5,35,191.86,3.43
2010,1,1,5,40,189.03,3.6
2010,1,1,5,45,187.20000000000002,3.74
2010,1,1,5,50,186.4,3.7800000000000002
2010,1,1,5,55,187.19,3.8000000000000003
2010,1,1,6,0,188.89000000000001,3.88
2010,1,1,6,5,189.25,4
2010,1,1,6,10,188.65,4.07
2010,1,1,6,15,187.32,4.11
2010,1,1,6,20,186.31,4.1
2010,1,1,6,25,186.43,4.09
2010,1,1,6,30,187.04,4.0600000000000005
2010,1,1,6,35,187.22,3.99
2010,1,1,6,40,186.52,3.88
2010,1,1,6,45,185.52,3.79
2010,1,1,6,50,184.70000000000002,3.7600000000000002
2010,1,1,6,55,184.22,3.81
2010,1,1,7,0,183.96,3.9
2010,1,1,7,5,183.96,4.05
2010,1,1,7,10,184.66,4.21
2010,1,1,7,15,185.64000000000001,4.33
2010,1,1,7,20,187.18,4.36
2010,1,1,7,25,189.53,4.38
2010,1,1,7,30,191.04,4.3500000000000005
2010,1,1,7,35,190.61,4.28
2010,1,1,7,40,189.36,4.2700000000000005
2010,1,1,7,45,187.59,4.34
2010,1,1,7,50,185.05,4.44
2010,1,1,7,55,183.11,4.57
2010,1,1,8,0,182.57,4.69
2010,1,1,8,5,181.9,4.73
2010,1,1,8,10,180.33,4.8100000000000005
2010,1,1,8,15,178.81,4.89
2010,1,1,8,20,177.8,4.93
2010,1,1,8,25,176.81,4.98
2010,1,1,8,30,175.63,5.0200000000000005
2010,1,1,8,35,174.34,5.04
2010,1,1,8,40,174.39000000000001,4.98
2010,1,1,8,45,175.34,4.88
2010,1,1,8,50,176.19,4.7700000000000005
2010,1,1,8,55,177.53,4.64
2010,1,1,9,0,179.62,4.51
2010,1,1,9,5,181.06,4.42
2010,1,1,9,10,181.82,4.28
2010,1,1,9,15,182.92000000000002,3.95
2010,1,1,9,20,186.45000000000002,3.5100000000000002
2010,1,1,9,25,188.33,3.0300000000000002
2010,1,1,9,30,186.06,2.43
2010,1,1,9,35,177.64000000000001,1.97
2010,1,1,9,40,168.6,1.62
2010,1,1,9,45,154.79,1.1500000000000001
2010,1,1,9,50,110.43,0.99
2010,1,1,9,55,88.57000000000001,1.1300000000000001
2010,1,1,10,0,80.85000000000001,1.27
2010,1,1,10,5,80.07000000000001,1.42
2010,1,1,10,10,80.78,1.54
2010,1,1,10,15,81.22,1.6400000000000001
2010,1,1,10,20,83.34,1.72
2010,1,1,10,25,84.60000000000001,1.9000000000000001
2010,1,1,10,30,83.2,2.11
2010,1,1,10,35,82.51,2.23
2010,1,1,10,40,83.76,2.22
2010,1,1,10,45,89.67,2.02
2010,1,1,10,50,103.46000000000001,1.73
2010,1,1,10,55,125.17,1.6500000000000001
2010,1,1,11,0,141.16,1.85
2010,1,1,11,5,142.68,1.99
2010,1,1,11,10,137.47,1.97
2010,1,1,11,15,130.54,1.86
2010,1,1,11,20,123.5,1.81
2010,1,1,11,25,117.37,1.8800000000000001
2010,1,1,11,30,112.01,2.0300000000000002
