SiteID,856431,Site Timezone,-7,Data Timezone,-7,Longitude,-105.102600098,Latitude,39.6388206482
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2009,1,1,0,0,119.19,2.48
2009,1,1,0,5,111.31,2.11
2009,1,1,0,10,96.18,2.13
2009,1,1,0,15,85.56,2.47
2009,1,1,0,20,84.82000000000001,2.37
2009,1,1,0,25,85.09,1.26
2009,1,1,0,30,290.03000000000003,0.33
2009,1,1,0,35,229.54,0.9
2009,1,1,0,40,156.47,0.76
2009,1,1,0,45,101.32000000000001,1.93
2009,1,1,0,50,106.99000000000001,2.84
2009,1,1,0,55,139.79,2.0100000000000002
2009,1,1,1,0,218.02,2.0100000000000002
2009,1,1,1,5,230.32,3.2600000000000002
2009,1,1,1,10,211.11,2.15
2009,1,1,1,15,180.06,0.74
2009,1,1,1,20,201.63,0.76
2009,1,1,1,25,285.47,1.69
2009,1,1,1,30,309.44,3.61
2009,1,1,1,35,310.43,5.94
2009,1,1,1,40,297.65000000000003,5.45
2009,1,1,1,45,256.84000000000003,3.13
2009,1,1,1,50,234.01,2.29
2009,1,1,1,55,214.43,2.46
2009,1,1,2,0,216.59,3.7
2009,1,1,2,5,224.23000000000002,3.5100000000000002
2009,1,1,2,10,233.49,2.69
2009,1,1,2,15,217.93,2.19
2009,1,1,2,20,194.83,1.9000000000000001
2009,1,1,2,25,166.77,1.19
2009,1,1,2,30,80.91,0.46
2009,1,1,2,35,71.91,0.75
2009,1,1,2,40,68.19,1.34
2009,1,1,2,45,46.17,2.08
2009,1,1,2,50,16.44,2.77
2009,1,1,2,55,349.29,4.1
2009,1,1,3,0,327.02,6.24
2009,1,1,3,5,316.62,7.67
2009,1,1,3,10,311.76,7.45
2009,1,1,3,15,310.05,6.54
2009,1,1,3,20,307.14,5.33
2009,1,1,3,25,294.51,3.5500000000000003
2009,1,1,3,30,265.56,1.8800000000000001
2009,1,1,3,35,221.91,0.8300000000000001
2009,1,1,3,40,139.74,1.57
2009,1,1,3,45,126.32000000000001,3.11
2009,1,1,3,50,117.34,3.04
